ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	richFactor	BgRatio_num	GeneRatio_num
GO:0001503	ossification	93/1400	484/28891	1.31308708481091e-30	7.2836940594461e-27	4.89021274322209e-27	Bglap2/Bglap/Sgms2/Ibsp/Tmem119/Ifitm5/Smpd3/Tent5a/Pth1r/Phospho1/Mef2c/Sp7/Runx2/Creb3l1/Lrp4/Alpl/Tgfb1/Ano6/P3h1/Trpm4/Plxnb1/Junb/Bmp1/Notum/Eif2ak3/Inppl1/Dlx5/Dmp1/Chsy1/Mmp14/Wnt10b/Lox/Bglap3/Fam20c/Col1a1/Chrd/Atp2b1/Kremen1/Klf10/Bambi/Igf2/Cthrc1/Limd1/Sh3pxd2b/Cd276/Col1a2/Ptch1/Pkdcc/Jund/Kazald1/Fndc3b/Tob1/Phex/Fosl2/Nab1/Prickle1/Mef2d/Trp53inp2/Wnt11/Adamts12/Spp1/Hdac5/Ptgs2/Bmp8a/Mia3/Runx3/Rxrb/Wwox/Sbno2/Wnt7b/Gli1/Dhrs3/Sirt7/Lgr4/Csf1r/Tnn/Sort1/Fzd9/Fbxl15/Vdr/Intu/Scube2/Col13a1/Ranbp3l/Dkk1/Col2a1/Atp6v0a4/Pam16/Smoc1/Ifi204/Sema4d/Sox8/Xylt1	93	0.192148760330579	484	93
GO:0048193	Golgi vesicle transport	67/1400	281/28891	4.87497582787677e-28	1.35207454586162e-24	9.07771814685684e-25	Optn/Uso1/Sar1a/Kdelr3/Arcn1/Sec23a/Copb1/Copb2/Copg1/Sec13/Arfgap3/Sec16b/Myo1b/Ehd3/Sec24d/Rab31/Gga2/Lman1/Yipf5/Kdelr2/Bet1/Arl1/Scfd1/Sec24a/Golga2/Wipi1/Tbc1d20/Arfgef2/Arf4/Golph3/Sec31a/Copa/Scyl1/Stx5a/Golga5/Golt1b/Cog6/Cope/Pkdcc/Bet1l/Nbas/Tmed3/Blzf1/Mia2/Copz2/Sec22b/Sec22a/Rab1a/Myo18a/Trip11/Sec16a/Vamp7/Kdelr1/Yif1b/Cog2/Snx8/Mia3/Golga4/Mppe1/Yipf6/Stx18/Ap4m1/Sort1/Rint1/Nkd2/Gga3/Lyplal1	67	0.238434163701068	281	67
GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	39/1400	124/28891	1.54405426906684e-21	2.85495634350458e-18	1.91679438735385e-18	Uso1/Sar1a/Kdelr3/Arcn1/Sec23a/Copb1/Copb2/Copg1/Sec13/Sec16b/Sec24d/Lman1/Yipf5/Kdelr2/Bet1/Scfd1/Sec24a/Golga2/Tbc1d20/Sec31a/Copa/Stx5a/Golt1b/Cope/Tmed3/Mia2/Sec22b/Sec22a/Rab1a/Trip11/Sec16a/Vamp7/Kdelr1/Yif1b/Mia3/Mppe1/Yipf6/Stx18/Rint1	39	0.314516129032258	124	39
GO:0031214	biomineral tissue development	47/1400	184/28891	2.11299753316786e-21	2.93019932912053e-18	1.96731191377576e-18	Bglap2/Bglap/Sgms2/Ibsp/Tmem119/Ifitm5/Smpd3/Tent5a/Pth1r/Phospho1/Mef2c/Sp7/Runx2/Alpl/Tgfb1/Ano6/Trpm4/Notum/Eif2ak3/Dmp1/Wnt10b/Lox/Bglap3/Fam20c/Col1a1/Atp2b1/Klf10/Cd276/Col1a2/Pkdcc/Cnnm4/Phex/Fosl2/Prickle1/Wnt11/Spp1/Ptgs2/Fam20a/Mia3/Wnt6/Rxrb/Sbno2/Lgr4/Csf1r/Fzd9/Fbxl15/Vdr	47	0.255434782608696	184	47
GO:0030282	bone mineralization	40/1400	137/28891	1.00873888325333e-20	1.11909491708125e-17	7.51351193463218e-18	Bglap2/Bglap/Sgms2/Ibsp/Tmem119/Ifitm5/Smpd3/Tent5a/Pth1r/Phospho1/Mef2c/Runx2/Alpl/Ano6/Trpm4/Notum/Eif2ak3/Wnt10b/Lox/Bglap3/Fam20c/Atp2b1/Klf10/Cd276/Col1a2/Pkdcc/Phex/Fosl2/Prickle1/Wnt11/Spp1/Ptgs2/Mia3/Rxrb/Sbno2/Lgr4/Csf1r/Fzd9/Fbxl15/Vdr	40	0.291970802919708	137	40
GO:0060348	bone development	51/1400	242/28891	3.88488214290051e-19	3.59157354111152e-16	2.41135316168105e-16	Cfh/Bglap2/Bglap/Tmem119/Pdgfa/Ifitm5/Smpd3/Spns2/Phospho1/Mef2c/Papss2/Runx2/Alpl/Ano6/P3h1/Plxnb1/Sparc/Cyp26b1/Trpv4/Notum/Inppl1/Dlx5/Chsy1/Mmp14/Lox/Insig2/Slc38a10/Bglap3/Fam20c/Col1a1/Fbxw7/Serpinh1/Vkorc1/Sh3pxd2b/Fosl2/Nab1/Mef2d/Adamts12/Trip11/Dhrs3/Tnn/Scube2/Col13a1/Ranbp3l/Lepr/Col2a1/Foxn3/Cadm1/Sfrp4/Sema4d/Xylt1	51	0.210743801652893	242	51
GO:0043062	extracellular structure organization	59/1400	324/28891	1.14102636248187e-18	9.04181890383844e-16	6.07060341422683e-16	Ibsp/Smpd3/Tnfrsf11b/Col11a2/Creb3l1/Tgfb1/P3h1/Col15a1/Lgals3/Agt/Loxl4/Dmp1/Fkbp10/Mmp14/Reck/Lox/Col1a1/Serpinh1/Apbb1/Phldb1/Adamts4/Col5a1/Slc2a10/Adamts14/Sh3pxd2b/Col11a1/Col1a2/Col5a2/Colgalt1/Kazald1/Pomt2/Zfp469/Tgfbi/Col24a1/Prickle1/Adamts10/P4ha1/Adamts12/Eln/Mia3/Col22a1/Adamts2/Smoc2/Adamts18/Rb1/Abl2/Ric8a/Rgcc/Dpt/Has1/Sema5a/Tex14/Tnxb/Col13a1/Papln/Col2a1/Adamts15/Serac1/Smoc1	59	0.182098765432099	324	59
GO:0030198	extracellular matrix organization	58/1400	322/28891	3.82215240123745e-18	2.65018492120801e-15	1.77931252573396e-15	Ibsp/Smpd3/Tnfrsf11b/Col11a2/Creb3l1/Tgfb1/P3h1/Col15a1/Lgals3/Agt/Loxl4/Dmp1/Fkbp10/Mmp14/Reck/Lox/Col1a1/Serpinh1/Apbb1/Phldb1/Adamts4/Col5a1/Slc2a10/Adamts14/Sh3pxd2b/Col11a1/Col1a2/Col5a2/Colgalt1/Kazald1/Pomt2/Zfp469/Tgfbi/Col24a1/Prickle1/Adamts10/P4ha1/Adamts12/Eln/Mia3/Col22a1/Adamts2/Smoc2/Adamts18/Rb1/Abl2/Ric8a/Rgcc/Dpt/Has1/Sema5a/Tnxb/Col13a1/Papln/Col2a1/Adamts15/Serac1/Smoc1	58	0.180124223602484	322	58
GO:0045229	external encapsulating structure organization	58/1400	323/28891	4.44460470482927e-18	2.73935803307644e-15	1.83918262522643e-15	Ibsp/Smpd3/Tnfrsf11b/Col11a2/Creb3l1/Tgfb1/P3h1/Col15a1/Lgals3/Agt/Loxl4/Dmp1/Fkbp10/Mmp14/Reck/Lox/Col1a1/Serpinh1/Apbb1/Phldb1/Adamts4/Col5a1/Slc2a10/Adamts14/Sh3pxd2b/Col11a1/Col1a2/Col5a2/Colgalt1/Kazald1/Pomt2/Zfp469/Tgfbi/Col24a1/Prickle1/Adamts10/P4ha1/Adamts12/Eln/Mia3/Col22a1/Adamts2/Smoc2/Adamts18/Rb1/Abl2/Ric8a/Rgcc/Dpt/Has1/Sema5a/Tnxb/Col13a1/Papln/Col2a1/Adamts15/Serac1/Smoc1	58	0.179566563467492	323	58
GO:0001649	osteoblast differentiation	47/1400	230/28891	3.49055321343361e-17	1.93620986749162e-14	1.29995550201349e-14	Bglap2/Bglap/Tmem119/Tent5a/Pth1r/Mef2c/Sp7/Runx2/Creb3l1/Trpm4/Junb/Dlx5/Wnt10b/Lox/Bglap3/Fam20c/Col1a1/Chrd/Bambi/Igf2/Cthrc1/Limd1/Sh3pxd2b/Cd276/Ptch1/Jund/Fndc3b/Tob1/Fosl2/Mef2d/Trp53inp2/Wnt11/Spp1/Hdac5/Bmp8a/Wwox/Wnt7b/Gli1/Sirt7/Lgr4/Tnn/Scube2/Ranbp3l/Smoc1/Ifi204/Sema4d/Sox8	47	0.204347826086957	230	47
