ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	richFactor	BgRatio_num	GeneRatio_num
GO:0007059	chromosome segregation	108/582	416/28891	1.69135492713458e-88	7.33878902883692e-85	5.43904137094329e-85	Tpx2/Ube2c/Top2a/Kifc1/Racgap1/Tacc3/Ccnb2/Incenp/Birc5/Ndc80/Cdc20/Knstrn/Kif2c/Prc1/Mki67/Bub1b/Nuf2/Plk1/Ncaph/Aspm/Kif22/Kif11/Cdca8/Cenpe/Aurka/Fam83d/Aurkb/Ncapg2/Rad21/Bub1/Spc24/Sgo2a/Cdca5/Mad2l1/Cdk1/Kif4/Nusap1/Cenpf/Smc2/Nek2/Smc4/Kif14/Ncapg/Kif18b/Cenpm/Fbxo5/Ccnb1/Knl1/Dlgap5/Spc25/Kif18a/Ect2/Ndc1/Brca1/Kif23/Kifc5b/Rad18/Cdca2/Cdc6/Fancd2/Spdl1/Spag5/Sgo1/Trip13/Ska2/Cenpn/Haspin/Cenpl/Ska1/Kntc1/Cenpp/Ncapd3/Cenpq/Ccne1/Mis12/Mybl2/Gen1/Ttk/Pmf1/Ccne2/Ska3/Oip5/Ncapd2/Esco2/Haus4/Chtf18/Cep192/Brip1/Stil/Dsn1/Ccsap/Cdt1/Cit/Cenpi/Haus3/Haus7/Psmc3ip/Nsl1/Cenpw/Espl1/Haus6/Cenps/Zwilch/Cenpu/Cenph/Mis18a/Cenpk/Cenpj	108	0.259615384615385	416	108
GO:0000280	nuclear division	96/582	450/28891	1.04545157299359e-69	2.2681071876096e-66	1.6809760818397e-66	Tpx2/Ube2c/Top2a/Kifc1/Racgap1/Ccnb2/Incenp/Birc5/Pdgfrb/Ndc80/Cdc20/Knstrn/Kif2c/Prc1/Mki67/Bub1b/Nuf2/Plk1/Ncaph/Rad51/Aspm/Kif22/Kif11/Cdca8/Cenpe/Aurka/Aurkb/Ncapg2/Rad21/Bub1/Spc24/Sgo2a/Cdca5/Mad2l1/Cdk1/Nusap1/Smc2/Nek2/Smc4/Kif14/Fignl1/Ncapg/Kif18b/Fbxo5/Ccnb1/Knl1/Spc25/Kif18a/Ndc1/Cks2/Kif23/Kifc5b/Cdca2/Fancd2/Spdl1/Mastl/Spag5/Sgo1/Trip13/Eps8/Haspin/Kntc1/Ncapd3/Ccne1/Mis12/Mybl2/Gen1/Rad51ap1/Ttk/Rad54l/Ccne2/Cdc25b/Ncapd2/Bora/Rad54b/Chtf18/Cep192/Brip1/Dsn1/Ccsap/Cdt1/Cit/Cenpi/Eme1/Ankle1/Fanca/Psmc3ip/Nsl1/Suv39h2/Espl1/Cenps/Zwilch/Reep4/Chek1/Mybl1/Cenpk	96	0.213333333333333	450	96
GO:0098813	nuclear chromosome segregation	81/582	312/28891	5.12260119564789e-66	7.40898886263873e-63	5.49106900094888e-63	Tpx2/Ube2c/Top2a/Kifc1/Racgap1/Tacc3/Ccnb2/Incenp/Birc5/Ndc80/Cdc20/Knstrn/Kif2c/Prc1/Bub1b/Nuf2/Plk1/Ncaph/Aspm/Kif22/Kif11/Cdca8/Cenpe/Aurka/Fam83d/Aurkb/Ncapg2/Rad21/Bub1/Spc24/Cdca5/Mad2l1/Cdk1/Kif4/Nusap1/Cenpf/Smc2/Nek2/Smc4/Kif14/Ncapg/Kif18b/Fbxo5/Ccnb1/Knl1/Spc25/Kif18a/Ect2/Ndc1/Kif23/Kifc5b/Cdc6/Fancd2/Spdl1/Spag5/Sgo1/Trip13/Haspin/Kntc1/Ncapd3/Cenpq/Ccne1/Mis12/Mybl2/Gen1/Ttk/Pmf1/Ccne2/Ncapd2/Cep192/Brip1/Dsn1/Ccsap/Cdt1/Cit/Cenpi/Psmc3ip/Nsl1/Espl1/Zwilch/Cenpk	81	0.259615384615385	312	81
GO:0000070	mitotic sister chromatid segregation	62/582	177/28891	1.27981892928422e-59	1.38828358354106e-56	1.0289070602535e-56	Tpx2/Ube2c/Kifc1/Racgap1/Incenp/Birc5/Ndc80/Cdc20/Knstrn/Kif2c/Prc1/Bub1b/Nuf2/Plk1/Ncaph/Kif22/Kif11/Cdca8/Cenpe/Aurkb/Ncapg2/Rad21/Bub1/Spc24/Cdca5/Mad2l1/Cdk1/Nusap1/Smc2/Nek2/Smc4/Kif14/Ncapg/Kif18b/Fbxo5/Ccnb1/Knl1/Spc25/Kif18a/Kif23/Kifc5b/Spdl1/Spag5/Trip13/Haspin/Kntc1/Ncapd3/Mis12/Mybl2/Gen1/Ttk/Ncapd2/Cep192/Dsn1/Ccsap/Cdt1/Cit/Cenpi/Nsl1/Espl1/Zwilch/Cenpk	62	0.350282485875706	177	62
GO:0006260	DNA replication	72/582	276/28891	8.28288430757308e-59	7.18788700211192e-56	5.32720243360753e-56	Mcm6/Tk1/Rrm1/Mcm5/Mcm2/Mcm4/Rad51/Pola1/Dtl/Pcna/Ccna2/Lig1/Cdk1/Chaf1b/Pclaf/Fen1/Fbxo5/Fam111a/E2f8/Prim1/Brca1/Dbf4/Bard1/Cdc6/Cdc45/Jade2/Ticrr/Nasp/Mcm3/Mcm7/Mcm10/Chaf1a/Jade1/Ccne1/Nucks1/Gen1/Polh/Gmnn/Ccne2/Prim2/Pif1/Pole/Tipin/Traip/Esco2/Rpa2/Chtf18/Mcm8/Atad5/Gins2/Timeless/Mms22l/E2f7/Rfc4/Rfc3/Cdt1/Gins1/Wdhd1/Recql4/Eme1/Dscc1/Polq/Cenps/Rfc5/Dna2/Pole2/Zranb3/Cdc7/Ddx11/Gins3/Blm/Orc1	72	0.260869565217391	276	72
GO:0140014	mitotic nuclear division	70/582	267/28891	2.44561154267065e-57	1.76858474727466e-54	1.31076197594015e-54	Tpx2/Ube2c/Kifc1/Racgap1/Incenp/Birc5/Pdgfrb/Ndc80/Cdc20/Knstrn/Kif2c/Prc1/Mki67/Bub1b/Nuf2/Plk1/Ncaph/Kif22/Kif11/Cdca8/Cenpe/Aurka/Aurkb/Ncapg2/Rad21/Bub1/Spc24/Cdca5/Mad2l1/Cdk1/Nusap1/Smc2/Nek2/Smc4/Kif14/Ncapg/Kif18b/Fbxo5/Ccnb1/Knl1/Spc25/Kif18a/Kif23/Kifc5b/Cdca2/Spdl1/Spag5/Trip13/Eps8/Haspin/Kntc1/Ncapd3/Mis12/Mybl2/Gen1/Ttk/Ncapd2/Bora/Cep192/Dsn1/Ccsap/Cdt1/Cit/Cenpi/Nsl1/Espl1/Zwilch/Reep4/Chek1/Cenpk	70	0.262172284644195	267	70
GO:0000819	sister chromatid segregation	65/582	218/28891	2.87756806809789e-57	1.7836811210681e-54	1.32195044331414e-54	Tpx2/Ube2c/Top2a/Kifc1/Racgap1/Tacc3/Incenp/Birc5/Ndc80/Cdc20/Knstrn/Kif2c/Prc1/Bub1b/Nuf2/Plk1/Ncaph/Kif22/Kif11/Cdca8/Cenpe/Aurkb/Ncapg2/Rad21/Bub1/Spc24/Cdca5/Mad2l1/Cdk1/Nusap1/Smc2/Nek2/Smc4/Kif14/Ncapg/Kif18b/Fbxo5/Ccnb1/Knl1/Spc25/Kif18a/Kif23/Kifc5b/Cdc6/Spdl1/Spag5/Trip13/Haspin/Kntc1/Ncapd3/Mis12/Mybl2/Gen1/Ttk/Ncapd2/Cep192/Dsn1/Ccsap/Cdt1/Cit/Cenpi/Nsl1/Espl1/Zwilch/Cenpk	65	0.298165137614679	218	65
GO:0006261	DNA-templated DNA replication	55/582	152/28891	7.47422475170436e-54	4.05383264970565e-51	3.00444166006011e-51	Mcm6/Tk1/Rrm1/Mcm5/Mcm2/Mcm4/Rad51/Pola1/Pcna/Lig1/Fbxo5/Fam111a/E2f8/Prim1/Brca1/Dbf4/Bard1/Cdc6/Cdc45/Ticrr/Mcm3/Mcm7/Mcm10/Ccne1/Nucks1/Gen1/Ccne2/Prim2/Pole/Tipin/Traip/Chtf18/Atad5/Gins2/Timeless/Mms22l/E2f7/Rfc4/Rfc3/Cdt1/Gins1/Wdhd1/Recql4/Eme1/Dscc1/Polq/Cenps/Rfc5/Dna2/Pole2/Zranb3/Cdc7/Gins3/Blm/Orc1	55	0.361842105263158	152	55
GO:0044772	mitotic cell cycle phase transition	82/582	454/28891	2.47197242732367e-53	1.19176537357304e-50	8.83260323447229e-51	Ube2c/Tacc3/Ccnb2/Incenp/Birc5/Rrm2/Ndc80/Rrm1/Cdc20/Lmnb1/Bub1b/Nuf2/Plk1/Ccnf/Cdca8/Cenpe/Tcf19/Dtl/Ccna2/Aurkb/Foxm1/Cdkn2c/Rad21/Bub1/Spc24/Cdca5/Cks1b/Mad2l1/Cdk1/Iqgap3/Cenpf/Kif14/Fbxo5/Ccnb1/Rbl1/Knl1/Spc25/Cks2/Brca1/Cdc25c/Dbf4/E2f1/Bard1/Cdc6/Ticrr/Nasp/Dact1/Spdl1/Mastl/Trip13/Eps8/Bcl2/Haspin/Jade1/Kntc1/Ccne1/Cdkn2d/Gen1/Clspn/Ttk/Ccne2/Cdc25b/Pole/Rpa2/Cep192/Gpnmb/Stil/Atad5/E2f7/Cit/Ezh2/Rnaseh2b/Cables1/Mrnip/Zwilch/Chek1/Cdc7/Blm/Orc1/Rad51b/Id4/Cenpj	82	0.180616740088106	454	82
GO:1901987	regulation of cell cycle phase transition	78/582	449/28891	2.14761578019598e-49	9.31850487027037e-47	6.90628021947235e-47	Ube2c/Incenp/Birc5/Rrm2/Ndc80/Rrm1/Cdc20/Lmnb1/Bub1b/Nuf2/Plk1/Rad51/Cdca8/Cenpe/Aurka/Dtl/Fam83d/Aurkb/Cdkn2c/Rad21/Bub1/Spc24/Cdca5/Mad2l1/Cdk1/Cenpf/Kif14/Fbxo5/Ccnb1/Rbl1/Knl1/Spc25/Brca1/Cdc25c/Dbf4/Pkmyt1/E2f1/Bard1/Cdc6/Ticrr/Dact1/Fancd2/Spdl1/Trp63/Trip13/Bcl2/Haspin/Jade1/Kntc1/Cdkn2d/Gen1/Clspn/Ttk/Gas1/Cdc25b/Tipin/Rpa2/Cep192/Gpnmb/Stil/Atad5/Timeless/E2f7/Cdt1/Ezh2/Rnaseh2b/Eme1/Wdr76/Mrnip/Zwilch/Dna2/Chek1/Paxip1/Cdc7/Blm/Orc1/Rad51b/Cenpj	78	0.173719376391982	449	78
